County_1,FIPS,Population,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,LSTMean_2020,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,LSTNight_2018,LSTDay_2018,Chlorophyll_2018,LSTNight_2019,LSTDay_2019,Chlorophyll_2019,Chlorophyll_2020,LSTNight_2021,LSTDay_2021,Chlorophyll_2021,LSTNight_2022,LSTDay_2022,Chlorophyll_2022,LSTNight_2023,LSTDay_2023,Chlorophyll_2023,LSTNight_2024,LSTDay_2024,Chlorophyll_2024,Ag_MEAN_2017,Ag_MEAN_2018,Ag_MEAN_2019,Ag_MEAN_2020,Ag_MEAN_2021,Ag_MEAN_2022,Ag_MEAN_2023,Ag_MEAN_2024,Fs_MEAN_2017,Fs_MEAN_2018,Fs_MEAN_2019,Fs_MEAN_2020,Fs_MEAN_2021,Fs_MEAN_2022,Fs_MEAN_2023,Fs_MEAN_2024,Rn_MEAN_2017,Rn_MEAN_2018,Rn_MEAN_2019,Rn_MEAN_2020,Rn_MEAN_2021,Rn_MEAN_2022,Rn_MEAN_2023,Rn_MEAN_2024,Cases_normalized_2017,Cases_normalized_2018,Cases_normalized_2019,Cases_normalized_2020
Adams,17001,65435,92.37030173,3.153757639,28.03056487,17.06124708,3.564110968,23.285,19.74,26.59,1.569801847,21.05,26.79,1.411056863,20.63,26.54,1.314126365,1.487578291,20.25,26.89,1.48316407,20.4,27.09,1.648360581,20.57,26.62,1.738076756,20.41,24.85,1.626380563,0.79,0.74,0.78,0.73,0.8,0.8,0.79,0.8,0.79,0.78,0.79,0.77,0.82,0.81,0.8,0.81,0.76,0.76,0.77,0.74,0.79,0.78,0.77,0.7783,1.5138441043341355,0.0,0.0,0.0
Alexander,17003,5761,95.7510072,3.810848079,29.43386739,18.57764971,2.939468935,24.185000000000002,20.69,28.37,1.511613428,21.28,27.92,1.38631711,21.61,28.13,1.531444057,1.548022547,20.61,27.33,1.454455152,20.95,28.71,1.830788236,21.25,27.86,1.74042255,20.93,25.76,1.590579169,0.74,0.78,0.55,0.71,0.76,0.76,0.77,0.76,0.83,0.85,0.8,0.82,0.83,0.84,0.84,0.84,0.67,0.65,0.65,0.68,0.68,0.6,0.59,0.6248,0.0,0.0,0.0,0.0
Bond,17005,16426,95.13529741,3.190252771,28.8691192,17.0600427,3.511251988,23.715,20.37,27.47,1.7910305,21.29,27.59,1.782202141,21.05,26.64,1.405455721,1.778664916,21.06,26.84,1.578541101,21.11,27.47,2.121370515,20.97,27.03,1.629841944,21.05,25.09,1.548130072,0.8,0.78,0.81,0.73,0.81,0.84,0.81,0.82,0.82,0.82,0.83,0.76,0.84,0.84,0.82,0.83,0.8,0.79,0.82,0.75,0.81,0.82,0.8,0.8093,0.0,6.010699044298852,0.0,0.0
Boone,17007,53544,92.79567843,3.497108712,27.29448732,14.75983709,4.06674539,22.405,15.98,26.8,1.162529295,17.34,26.83,1.282975289,17.01,26.48,1.218020683,1.418312108,17.34,28.86,1.138222572,17.34,26.63,1.588515848,17.14,27.02,1.485985314,17.27,24.21,1.502652367,0.8,0.72,0.8,0.74,0.79,0.82,0.83,0.81,0.8,0.75,0.8,0.76,0.78,0.82,0.81,0.8,0.76,0.73,0.79,0.74,0.79,0.8,0.75,0.7795,1.8687048007026328,0.0,0.0,0.0
Brown,17009,6578,94.699153,2.975417994,28.06360517,16.52473088,3.645824757,23.009999999999998,18.87,27.19,1.746539332,20.85,26.99,1.664358114,20.53,26.09,1.473057054,1.735941886,19.77,27.16,1.707146644,20.01,26.64,1.768406794,20.33,26.49,2.023601247,20.04,24.71,1.826332751,0.8,0.77,0.81,0.75,0.79,0.82,0.82,0.81,0.81,0.82,0.82,0.8,0.83,0.83,0.83,0.83,0.78,0.78,0.79,0.75,0.78,0.79,0.79,0.7871,0.0,0.0,0.0,0.0
Bureau,17011,32628,90.94754525,3.115395304,27.74003324,15.60283427,3.60977729,22.380000000000003,17.85,25.63,1.584762543,19.36,25.86,1.533881112,18.76,25.67,1.281474388,1.591829155,18.88,26.38,1.579830671,18.47,25.98,1.810508391,18.85,25.96,1.803238904,18.73,23.74,1.921945466,0.85,0.73,0.8,0.75,0.8,0.85,0.83,0.82,0.83,0.78,0.8,0.77,0.8,0.83,0.81,0.82,0.81,0.76,0.77,0.76,0.79,0.82,0.8,0.8047,0.0,0.0,0.0,0.0
Calhoun,17013,4739,94.38856734,3.492924929,29.10424327,17.58130759,3.337479363,23.305,19.81,26.56,1.805652505,21.26,26.93,1.888155315,21.11,25.79,1.680844336,1.941569359,20.73,26.3,8.882706047,20.72,27.06,7.724393852,20.94,26.29,1.892000522,20.8,24.77,5.632366755,0.8,0.75,0.79,0.74,0.79,0.83,0.8,0.81,0.81,0.81,0.82,0.8,0.83,0.83,0.83,0.83,0.79,0.81,0.81,0.79,0.83,0.79,0.78,0.8002,0.0,0.0,0.0,0.0
Carroll,17015,14305,91.68253083,3.232816785,27.45541426,15.11385346,3.779175458,21.975,17.8,24.74,1.432877475,19.34,25.12,1.404258911,18.66,24.54,1.330440505,1.612978684,18.63,26.12,1.471895305,18.31,25.27,1.646164452,18.86,25.01,1.395870342,18.6,23.42,1.574272558,0.84,0.72,0.84,0.76,0.79,0.84,0.83,0.82,0.82,0.79,0.82,0.79,0.81,0.83,0.81,0.82,0.79,0.74,0.76,0.73,0.74,0.78,0.76,0.7588,6.908462867012091,0.0,0.0,0.0
Cass,17017,12147,94.17509594,2.540772902,28.63825988,16.38990216,3.721504263,23.225,19.67,26.91,1.549726675,21.22,26.56,1.672038479,20.53,26.29,1.477467918,1.835609709,20.1,27.1,1.624230482,20.0,26.92,1.849672156,20.53,26.49,1.904397387,20.21,24.85,1.980117013,0.77,0.72,0.79,0.73,0.79,0.82,0.8,0.8,0.79,0.79,0.8,0.78,0.81,0.82,0.82,0.82,0.71,0.74,0.77,0.73,0.82,0.79,0.77,0.7947,0.0,0.0,0.0,0.0
Champaign,17019,209689,92.7614764,3.110303033,28.00506238,15.99228295,3.453715895,0.0,0.0,0.0,1.382139365,0.0,0.0,1.486351747,0.0,0.0,1.193462527,1.674981663,0.0,0.0,1.36844177,0.0,0.0,1.54767715,0.0,0.0,1.570749458,0.0,0.0,1.702271898,0.78,0.75,0.81,0.73,0.8,0.86,0.82,0.83,0.78,0.79,0.79,0.76,0.8,0.83,0.82,0.82,0.63,0.75,0.7,0.7,0.75,0.75,0.76,0.7524,0.0,0.952752979734944,0.0,0.0
